72.63,226.91,1.84s,1523.99\nTransfer/sec:,"508.94KB\n"")",,,,,,,
45.98,98.32,1.69s,1523.99\nTransfer/sec:,"508.94KB\n"")",,,,,,,
32.35,10.06,59.07,1522.09\nTransfer/sec:,"508.31KB\n"")",,,,,,,
70.41,221.39,3.29s,1521.01\nTransfer/sec:,"507.94KB\n"")",,,,,,,
74.38,187.16,1.87s,1518.90\nTransfer/sec:,"507.24KB\n"")",,,,,,,
85.97,250.39,2.00s,1513.13\nTransfer/sec:,"505.31KB\n"")",,,,,,,
144.16,437.82,6.67s,1513.27\nTransfer/sec:,"505.36KB\n"")",,,,,,,
33.76,45.75,543.23,1509.85\nTransfer/sec:,"504.22KB\n"")",,,,,,,
32.16,10.07,67.84,1505.93\nTransfer/sec:,"502.91KB\n"")",,,,,,,
32.56,10.05,64.29,1504.32\nTransfer/sec:,"502.37KB\n"")",,,,,,,
81.62,214.54,1.96s,1494.62\nTransfer/sec:,"499.13KB\n"")",,,,,,,
274.7,741.25,7.44s,1504.37\nTransfer/sec:,"502.39KB\n"")",,,,,,,
202.52,560.35,3.47s,1507.02\nTransfer/sec:,"503.27KB\n"")",,,,,,,
45.44,100.64,1.01s,1505.51\nTransfer/sec:,"502.77KB\n"")",,,,,,,
37.8,14.77,185.34,1501.31\nTransfer/sec:,"501.37KB\n"")",,,,,,,
32.37,10.08,61.44,1502.31\nTransfer/sec:,"501.70KB\n"")",,,,,,,
40.1,71.68,908.8,1497.12\nTransfer/sec:,"499.97KB\n"")",,,,,,,
393.21,928.35,8.92s,1488.35\nTransfer/sec:,"497.04KB\n"")",,,,,,,
58.57,149.93,1.77s,1483.59\nTransfer/sec:,"495.45KB\n"")",,,,,,,
123.43,343.2,2.87s,1476.17\nTransfer/sec:,"492.97KB\n"")",,,,,,,
47.04,62.87,1.02s,1476.98\nTransfer/sec:,"493.24KB\n"")",,,,,,,
32.4,10.07,74.56,1477.24\nTransfer/sec:,"493.33KB\n"")",,,,,,,
262.94,695.76,7.18s,1476.29\nTransfer/sec:,"493.01KB\n"")",,,,,,,
64.2,172.49,1.80s,1479.56\nTransfer/sec:,"494.10KB\n"")",,,,,,,
63.33,174.19,1.80s,1480.47\nTransfer/sec:,"494.41KB\n"")",,,,,,,
77.98,221.64,1.92s,1484.54\nTransfer/sec:,"495.77KB\n"")",,,,,,,
50.05,113.96,1.77s,1487.10\nTransfer/sec:,"496.62KB\n"")",,,,,,,
41.86,88.7,1.79s,1494.23\nTransfer/sec:,"499.00KB\n"")",,,,,,,
40.92,16.08,205.18,1493.81\nTransfer/sec:,"498.86KB\n"")",,,,,,,
100.95,339.31,2.84s,1503.35\nTransfer/sec:,"502.05KB\n"")",,,,,,,
